
Host: Rubens-MacBook-Pro-2.local

Timers On : Tue Jan 19 08:25:57 2021
Timers Off: Tue Jan 19 08:27:55 2021

Wall Time:      118.13 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: (Q|mn) Write                    :     25.900u    408.033s    409.725w     26 calls
HF: Form core H                     :     14.400u      1.300s      1.592w     13 calls
HF: Form S/X                        :     59.200u      2.533s      6.768w     13 calls
HF: Guess                           :     72.800u      3.133s      6.299w     13 calls
| SAD Guess                         :     68.800u      2.733s      5.940w     13 calls
HF: Form G                          : 472270.117u   7486.333s  47275.444w    385 calls
| RV: Form V                        :  48742.417u    789.367s   4231.060w    385 calls
| | Properties                      :  21161.878p                         7470540 calls
| | Functional                      :   1643.797p                         7470540 calls
| | V_xc                            :  10396.872p                         7470540 calls
